=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2015.12.05 17:41:50 =~=~=~=~=~=~=~=~=~=~=~=
80;  +195;  -526; -4414;  -530
  +831; +3980;  -306;   -75;  +131;   -35
  +854; +3952;  -375;   -91;  +125;   -16
  +874; +4010;  -480;   -82;  +127;   -20
  +891; +4003;  -472;   -53;  +106;   -27
  +910; +3985;  -534;   -50;  +124;   -22
  +942; +4002;  -559;   -63;  +110;   -22
  +879; +3979;  -571;   -61;  +116;   -28
  +885; +3975;  -552;  -103;  +127;   -19
  +843; +4007;  -499;   -90;  +105;   -20
  +821; +3971;  -481;  -113;   +89;   -41
  +823; +3981;  -543;  -123;   +37;   -23
  +836; +3997;  -468;  -147;   +14;   -29
  +821; +4001;  -512;  -191;   -29;   -34
  +840; +3972;  -578;  -210;   -92;   -26
  +813; +3997;  -648;  -235;  -138;   -22
  +798; +3992;  -670;  -227;  -211;   -29
  +818; +3995;  -630;  -216;  -291;   -28
  +857; +3995;  -666;  -214;  -368;   -28
  +863; +3996;  -606;  -233;  -470;   -29
  +868; +4011;  -587;  -261;  -575;   -32
  +897; +4003;  -510;  -280;  -694;   -34
  +870; +3991;  -437;  -309;  -815;   -45
  +880; +3998;  -333;  -315;  -959;   -49
  +868; +3992;  -288;  -335; -1090;   -53
  +887; +3985;  -310;  -352; -1241;   -48
  +852; +3968;  -228;  -392; -1366;   -56
  +863; +3956;  -182;  -416; -1532;   -64
  +867; +3974;  -118;  -433; -1659;   -66
  +899; +3979;  -179;  -434; -1810;   -68
  +905; +3969;  -169;  -429; -1969;   -67
  +919; +3963;  -112;  -451; -2103;   -73
  +879; +3990;  -106;  -466; -2249;   -74
  +890; +3964;  -102;  -491; -2415;   -81
  +897; +3951;   -29;  -451; -2606;   -83
  +839; +3997;  +202;  -478; -2708;   -93
  +837; +3978;   +61;  -482; -2860;   -99
  +845; +3951;  +137;  -523; -3014;  -105
  +892; +3940;  +166;  -577; -3121;  -100
  +906; +3970;  +169;  -585; -3265;  -100
  +918; +3978;  +107;  -582; -3387;  -113
  +910; +3975;    -4;  -571; -3529;  -110
  +879; +3996;    +2;  -570; -3634;  -115
  +856; +3975;  -131;  -587; -3727;  -117
  +855; +3977;  -155;  -596; -3848;  -121
  +845; +3976;  -114;  -604; -3951;  -124
  +853; +3963;   -61;  -588; -4045;  -126
  +844; +3994;  -124;  -605; -4129;  -122
  +881; +3988;  -155;  -632; -4211;  -120
  +876; +3967;   -99;  -660; -4263;  -125
  +849; +4000;  -192;  -687; -4330;  -125
  +863; +3986;  -275;  -721; -4374;  -115
  +789; +4002;  -356;  -718; -4416;  -133
