=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2015.12.05 18:04:34 =~=~=~=~=~=~=~=~=~=~=~=
;  -266;  -130;  -113;   +43
 -1346; -3390;  -595; +1837; +3992; +2755
 -1385; -3444;  -584; +1806; +4162; +2785
 -1507; -3407;  -370; +1678; +3931; +2769
 -1298; -3475;  -876; +1594; +3779; +2772
 -1196; -3503;  -407; +1616; +3643; +2775
 -1236; -3513;  -418; +1571; +3666; +2757
 -1472; -3487;  -926; +1636; +3697; +2761
 -1491; -3484;  -620; +1596; +3741; +2751
 -1335; -3578;  -649; +1593; +3827; +2777
 -1442; -3572;  -461; +1551; +4001; +2775
 -1493; -3597; -1018; +1567; +4226; +2793
 -1551; -3574;  -471; +1567; +4409; +2807
 -1523; -3630;  -839; +1579; +4638; +2801
 -1400; -3670;  -980; +1686; +4844; +2817
 -1500; -3664;  -934; +1675; +4990; +2813
 -1510; -3580;  -850; +1687; +4952; +2817
 -1613; -3639;  -587; +1635; +4784; +2800
 -1478; -3782;  -621; +1514; +4601; +2803
 -1571; -3831;  -592; +1420; +4407; +2795
 -1601; -3876;  -769; +1296; +4158; +2799
 -1704; -3856;  -505; +1218; +3757; +2816
 -1667; -3845;  -625; +1133; +3444; +2803
 -1664; -3830;  -709; +1119; +3064; +2823
 -1648; -3829;  -751;  +976; +2581; +2831
 -1548; -3808;  -904;  +845; +2084; +2805
 -1632; -3757;  -793;  +719; +1628; +2792
 -1558; -3764;  -809;  +605; +1238; +2775
 -1645; -3665;  -811;  +548; +1015; +2762
 -1617; -3628; -1059;  +516;  +927; +2758
 -1533; -3710; -1135;  +487;  +745; +2782
 -1725; -3717;  -776;  +442;  +461; +2804
 -1818; -3723;  -921;  +433;  +229; +2813
 -1823; -3731;  -725;  +432;  +301; +2801
 -1784; -3756; -1097;  +376;  +345; +2796
 -1818; -3703;  -552;  +423;  +231; +2780
 -1829; -3739;  -871;  +384;  +226; +2759
 -2015; -3715;  +168;  +436;  +337; +2727
 -1824; -3721;  -683;  +462;  +394; +2712
 -1853; -3695;  -726;  +460;  +489; +2704
 -1841; -3731;  -671;  +470;  +620; +2714
 -2027; -3697;  -192;  +485;  +711; +2720
 -1880; -3683;  -725;  +504;  +635; +2739
 -1838; -3686;  -913;  +478;  +472; +2743
