=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2015.12.05 17:40:49 =~=~=~=~=~=~=~=~=~=~=~=
;    +9;  -565; -2421;  -149
 +3011; -1185;  +669; -1693; +2491;+10568
 +3002; -1178;  +572; -1648; +2771;+10555
 +2996; -1233;  +591; -1621; +3041;+10536
 +2940; -1256;  +504; -1572; +3228;+10514
 +2947; -1272;  +505; -1535; +3402;+10508
 +2910; -1301;  +497; -1477; +3563;+10475
 +2898; -1334;  +588; -1445; +3677;+10457
 +2889; -1366;  +598; -1420; +3787;+10440
 +2851; -1383;  +605; -1373; +3900;+10420
 +2846; -1430;  +600; -1332; +3976;+10403
 +2850; -1438;  +575; -1316; +4076;+10384
 +2821; -1459;  +552; -1296; +4154;+10369
 +2817; -1418;  +513; -1298; +4207;+10329
 +2774; -1369;  +411; -1295; +4250;+10321
 +2804; -1323;  +389; -1301; +4239;+10297
 +2796; -1316;  +444; -1312; +4189;+10272
 +2742; -1306;  +404; -1371; +4127;+10245
 +2801; -1332;  +404; -1432; +3979;+10229
 +2787; -1341;  +345; -1478; +3831;+10217
 +2740; -1384;  +285; -1568; +3606;+10206
 +2742; -1415;  +206; -1640; +3372;+10185
 +2700; -1409;  +172; -1742; +3098;+10184
 +2695; -1429;  +134; -1839; +2791;+10166
 +2642; -1487;   +66; -1943; +2480;+10132
 +2628; -1495;  +116; -2010; +2117;+10128
 +2585; -1513;  +189; -2105; +1757;+10101
 +2578; -1495;  +251; -2201; +1401;+10096
 +2530; -1441;  +293; -2278;  +964;+10068
 +2581; -1524;  +291; -2367;  +718;+10065
 +2448; -1484;   +86; -2414;  +321;+10067
 +2530; -1503;  +394; -2393;   -56;+10060
 +2398; -1512;  +278; -2449;  -375;+10043
 +2505; -1544;  +394; -2583;  -677;+10039
 +2322; -1541;  +323; -2578;  -994;+10040
 +2336; -1581;   +78; -2565; -1236;+10039
 +2216; -1571;   +56; -2554; -1426;+10043
 +2264; -1591;  +308; -2547; -1538;+10040
